space,algorithm,config,n_components,n_neighbors,min_cluster_size,min_samples,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,ari_vs_zhicheng_shared,is_zhicheng_shared
umap10,hdbscan,nn10_hdbscan_mcs12_ms3,10,10,12,3,16,73,0.15973741794310722,0.8402625820568927,12,52,0.07173937559127808,0.5452303013498431,False
umap10,hdbscan,nn10_hdbscan_mcs12_ms5,10,10,12,5,14,111,0.24288840262582057,0.7571115973741794,12,52,0.07644109427928925,0.4192282550110298,False
umap10,hdbscan,nn10_hdbscan_mcs12_ms8,10,10,12,8,2,0,0.0,1.0,13,444,0.00321890483610332,0.006592130837579479,False
umap10,hdbscan,nn10_hdbscan_mcs12_ms10,10,10,12,10,2,0,0.0,1.0,13,444,0.00321890483610332,0.006592130837579479,False
umap10,hdbscan,nn10_hdbscan_mcs15_ms1,10,10,15,1,12,113,0.24726477024070023,0.7527352297592997,15,53,0.0653834119439125,0.4056905798121684,False
umap10,hdbscan,nn10_hdbscan_mcs15_ms3,10,10,15,3,12,123,0.26914660831509846,0.7308533916849015,15,52,0.0686790868639946,0.3942798876614928,False
umap10,hdbscan,nn10_hdbscan_mcs15_ms5,10,10,15,5,9,103,0.22538293216630198,0.774617067833698,15,132,0.03852332755923271,0.2875498097655374,False
umap10,hdbscan,nn10_hdbscan_mcs15_ms8,10,10,15,8,4,71,0.15536105032822758,0.8446389496717724,15,337,-0.03764817863702774,0.05952398242924313,False
umap10,hdbscan,nn10_hdbscan_mcs15_ms10,10,10,15,10,8,155,0.33916849015317285,0.6608315098468271,15,117,0.057951174676418304,0.23555562265940164,False
umap10,hdbscan,nn10_hdbscan_mcs20_ms1,10,10,20,1,7,178,0.38949671772428884,0.6105032822757112,20,53,0.0775919109582901,0.23584174107976844,False
umap10,hdbscan,nn10_hdbscan_mcs20_ms3,10,10,20,3,6,183,0.40043763676148797,0.5995623632385121,22,64,0.07709255814552307,0.22094474035726913,False
umap10,hdbscan,nn10_hdbscan_mcs20_ms5,10,10,20,5,5,152,0.33260393873085337,0.6673960612691466,23,132,0.0626538023352623,0.20717446970543357,False
